Name,Translation,Description
Hailstone,🌧🧊[weaken],Do [ice]2 damage[;]|inflict [ice]1 freeze
Half Moon Charm,🌛🪄,Roll a six
Hall of Mirrors,🪞🏠,[]+1 dice this fight
Hammer,🔨,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock
Hard Hat,👷🎩,Reduce [reduce]1 damage|from each attack
Hard Hat?,👷🎩❓,Block [reduce]1 of the|next status effect
Harmony,🎶,Do [weaken]<d6> damage[;] return|dice if enemy is weakened
Harvest Scythe,🌾[sword],Consume spell in slot <d6>|to do [sword]<quadruple> damage
Haunt,[haunted],Do [sword]<d6> damage[;]|Haunt [haunted]3 dice
Headbutt,🙆👊,Do [sword]<d6> damage|[gray](Reuseable)
Healing Crystal,🩹💎,Recover [heal]<d6> health
Health Tonic,[heal]🧪,Heal [heal]8 health|(to enemy)
Heat Sink,➖🌡️,Reduce CPU|counter by <d6>
Heatwave,🥵,Do [fire]4[;] inflict [fire]1 burn|[gray](once per battle)
Hedge Clippers,🌿✂️,Do damage equal to|twice the difference
Hex,🪄,Even: [weaken]1 weaken|Odd: [shock]1 shock
Hi Vis Jacket,🦺,Add [shield]<d6> shield|(Gain [reduce]1 each turn)
Hibernate,☃️💤,Recover [heal]<d6> health
High Note,⬆️🎵,Do [sword]12 damage
High Voltage,⬆️[shock],Do [shock]<d6> damage[;] return|dice if enemy is shocked
Hijinx,⬆️[jinx],Reduce all Jinx|countdowns by [jinx]1
Hole Puncher,🕳️👊,Do [sword]8 damage|[gray](Reuseable)
Hollow Crystal,⭕💎,Do [sword]<d6> damage
Honey,🍯,Reroll the dice[;] get a|higher value than before
Honeysuckle,🌺,Recover [heal]1 health[;]|gain [mana]1 mana
Hookshot,🪝🔫,Next equipment has|+1 use this turn
Hookshot?,🪝🔫❓,Keep the next dice you|use[;] and return this dice
Hurricane,🌪️,Do [sword]4[;] lock [lock]1 dice|[gray](once per battle)
Ice Age,🧊🗓️,Freeze all dice
Ice Breath,🧊😤,Do [ice]4 damage|Inflict [ice]1 freeze
Ice Crystal,🧊💎,Do [ice]<d6> damage[;]|Freeze [ice]1 dice
Ice Crystal?,🧊💎❓,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze
Ice Potion,🧊🧪,[ice]8 damage[;] freeze all dice|[gray](once per battle)
Ice Shard,🧊📌,Do [ice]<d6> damage[;]|Freeze [ice]1 dice
Ice Shard?,🧊📌❓,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze
Ice Shatter,🧊💔,Do [ice]<d6> damage[;]|+[ice]3 if enemy is frozen
Icecube,🧊,Inflict [ice]1 freeze|[gray](Reuseable)
Iced Latte,🧊☕,Self inflict [ice]1 freeze|(Always offered as scrap)
Icicle,🧊🧊,Do [ice]2 damage[;]|inflict [ice]1 freeze
Ignite,[fire],Inflict [fire]1 burn[;]|return both dice
Illuminate,💡,Get 2x[dice]<d6>s next turn
Incoming!,📨,Add a Juggling Ball to|your deck for this fight
Increment,➕🖥️,CPU counter + 1|[gray](Reuseable)
Inferno,🏠[fire],Do [fire]<d6> damage[;]|Burn [fire]1 dice
Infestation,🪰,Curse everyone|[gray](items might fail)
Infliction,📤,Do [sword]3 damage
Ink Splat,🦑⚫,Blind [blind]1 dice
Ink Splat?,🦑⚫❓,Inflict [blind]Blind for 1 turn
Inventor Gadgets,🎛️🧑🎛,(special)
Iron Armor,[reduce],Reduce [reduce]2 damage|from each attack
Iron Armor?,[reduce]❓,Block [reduce]2 of the|next status effect
Iron Shield,[shield],Add [shield]<d6> shield
Jab,⬆📌,Do [sword]<d6> damage[;]|Gain [thorns]2 thorns
Javelin,🤾🤺,Do [sword]10 damage if|your limit is charged
Jealous Sword,🥺[sword],Do [sword]<d6> damage[;]|errors if not used first
Jester Deck,🃏🧑🗃️,(special)
Judgement,🧑‍⚖,(special)
Judgement@animals,🧑‍⚖@🐄,Do [sword]<triple>[;] animals|take only [sword]1 damage
Judgement@bosses,🧑‍⚖@👑,Do [sword]<triple>[;] bosses|take only [sword]1 damage
Judgement@dicepeople,🧑‍⚖@[dice]⚔️,Do [sword]<triple>[;] dice|people take only [sword]1
Judgement@eyewear,🧑‍⚖@👓,Do [sword]<triple>[;] things with|eyewear take only [sword]1
Judgement@floating,🧑‍⚖@🎈,Do [sword]<triple>[;] things that|can float take only [sword]1
Judgement@fullhp,🧑‍⚖@⬆️[heart],Do [sword]<triple>[;] if target has|full health[;] take only [sword]1
Judgement@green,🧑‍⚖@🟢,Do [sword]<triple>[;] green things|take only [sword]1 damage
Judgement@hats,🧑‍⚖@🎩,Do [sword]<triple>[;] hat wearers|take only [sword]1 damage
Judgement@level1,🧑‍⚖@💪1,Do [sword]<triple>[;]  level 1|monsters take only [sword]1
Judgement@limbs,🧑‍⚖@🦵,Do [sword]<triple>[;] creatures|with more than four limbs|take only [sword]1 damage
Judgement@lowhp,🧑‍⚖@⬇️[heart],Do [sword]<triple>[;] if target has|[heart]6 or less[;] take only [sword]1
Judgement@machines,🧑‍⚖@🖨️,Do [sword]<triple>[;] machines|take only [sword]1 damage
Judgement@magic,🧑‍⚖@🪄,Do [sword]<triple>[;] magic users|take only [sword]1 damage
Judgement@onfire,🧑‍⚖@[fire],Do [sword]<triple>[;] firey things|take only [sword]1 damage
Judgement@plants,🧑‍⚖@🌿,Do [sword]<triple>[;] plants|take only [sword]1 damage
Judgement@poison,🧑‍⚖@[poison],Do [sword]<triple>[;] poison|things take only [sword]1
Judgement@shields,🧑‍⚖@[shield],Do [sword]<triple>[;] shield|holders take only [sword]1
Judgement@spears,🧑‍⚖@🤺,Do [sword]<triple>[;] spear|holders take only [sword]1
Judgement@swords,🧑‍⚖@[sword],Do [sword]<triple>[;] sword|holders take only [sword]1
Judgement@wings,🧑‍⚖@🦋,Do [sword]<triple>[;] winged|creatures take only [sword]1
Juggling Ball,🤹,Do [sword]<d6> damage[;]|get a new dice
Justice,⚖️,Do [sword]<d6> damage[;]|blind all dice
Kale Salad,🥬🥗,Increase max health by 1|[gray](once per battle)
Kaleidoscope,💮🔭,Both fighters lose a|dice next turn
Kapow,💥,Do [sword]<var_tempkapowkludge:kapowcount> damage[;] +1 for|each kapow used this turn
Katana,🥷[sword],Do [sword]<d6> damage|[gray](Reuseable)
Keyblade,🔑🗡,Do [sword]3 damage[;]|return the dice
Kitchen Tongs,🙃➗2,Flip a dice on its side
Kite Shield,🪁[shield],Add [shield]8 to shield
Knitting Needle,🧶🪡,Gain [thorns]1 thorns
Knuckle Duster,👊📌,Do [sword]3 damage|[gray](Reuseable)
Kunai,🥷🗡️,Do [sword]<double> damage|[gray](Reuseable)
Lament,😢🗣️,Do [ice]<d6> damage[;]|on 6[;] inflict [ice]1 freeze
Lantern,🪔,Get 2x<d6>s next turn|[gray](once per battle)
Last Laugh,⏭🤣,Enemy will survive the|next fatal blow
Last Laugh?,⏭🤣❓,Enemy will survive for|the next three turns...
Last Stand,⏭️🧍,Survive the next fatal|blow. (Doesn't stack.)
Last Stand?,⏭️🧍❓,Survive for three turns...|[gray](once per battle)
Laugh Track,🤣📼,Curse Enemy|[gray](items might fail)
Leather Armor,⬇[reduce],Reduce [reduce]1 damage|from each attack
Leather Armor?,⬇[reduce]❓,Block [reduce]1 of the|next status effect
Life Crystal,⛑️💎,Recover [heal]<d6> health
Life Drain,💉,Drain [heart]<d6> health
Lighter,🚬,Do [fire]2 damage[;]|burn [fire]1 dice
Lightning Bolt,🌩️,Do [shock]<d6> damage[;]|[]+[shock]1 shock
Lightning Rod,🌩️🦯,Discharge [sword]<charge> damage|Take damage to charge
Liquid Cooling,💧🥶,Freeze all of your|own dice
Liquid Nitrogen,🍨🧪,Do [ice]<d6> damage[;]|on 4[;] inflict [ice]1 freeze
Liquorice,⚫🍬,Add [poison]2 poison
Lock 1,[lock]1,Unlocks Keyblade[;]|return the dice
Lock 2,[lock]2,Unlocks Keyblade[;]|return the dice
Lock 3,[lock]3,Unlocks Keyblade[;]|return the dice
Lock 4,[lock]4,Unlocks Keyblade[;]|return the dice
Lock 5,[lock]5,Unlocks Keyblade[;]|return the dice
Lock 6,[lock]6,Unlocks Keyblade[;]|return the dice
Lockpick,📎[lock],Split a dice in two
Lojinx,⬇[jinx],Do [sword]2 for each [jinx]jinx[;]|then return the dice
Lollipop,🍭,Dice value -1. On 1[;]|instead return two 1s
Lucky 7,🍀7,Do [sword]7[;] return a dice
Lucky Roll,🍀🔄,Reroll the dice[;] get a|higher value than before
Lucky Star,🍀[confuse],Do [sword]1 damage[;] roll a 5|[gray](Reuseable)
Lunasa,🌾🗓,Replace the spell in slot <slotdoubles>|with a random spell
Magic Barrier,🪄🚧,Add [shield]5 shield
Magic Dagger,🪄🗡,Do [sword]2 damage|[gray](Reuseable)
Magic Key,🪄🔑,Split a dice in two
Magic Missile,🪄💥,Do [sword]5 damage
Magic Reroll,🪄🔄,Reroll unused dice
Magic Shield,🪄[shield],Add [shield]3 shield
Magic Spear,🪄🤺,Do [sword]10 damage
Magic Thistle,🪄[thorns],Gain [thorns]1 thorns|(Cost [mana]1[]: +[thorns]1 extra)
Magnifying Glass,🔎,Double dice value|(Cost [mana]1[]: instead[;] triple)
Manic Laugh,🤪,Do [sword]<d6> damage[;]|quadruple if you are cursed
Marmalade,🍊🥪,Get a [dice]6 next turn
Master Key,⬆️🔑,Split a dice as|evenly as possible
Matchstick,🧨,Burns [fire]1 dice|[gray](Reuseable)
Mechanical Arm,🦾,Do [sword]<dicerolled> damage[;]|add [sword]1 each roll
Mechanical Leg,🦿,Do [sword]2 damage for each|unused dice ([sword]<doubleunassigneddice> total)
Mega Storm,⬆⛈,Do [shock]20 damage[;]|[shock]Shock all equipment
Melody,🎵,Inflict [weaken]1 weaken
Memorise,👀🧠,Replace the spell in slot <slotdoubles>|with the unexpected spell
Memory Leak,🚶🗄️,Do [sword]<double> damage|(Slots shrink on each roll)
Mercy,🥺,In [jinx]6 turns[;]|do [fire]20 damage
Meteor,☄️,Do [fire]20 damage[;]|burn all dice
Midnight Charm,🌃🪄,Roll 2 sixes
Mirror Cauldron,🪞🥘,Get a new dice[;] on 6|get +1 dice this fight
Mirror Shard,🪞🧩,Do [sword]9 damage[;]|+1 dice this fight
Missile Launcher,💥🤾,Do [fire]<d6> damage[;]|Burn [fire]2 dice
Missing Score,🎼🤷,Do [sword]<d6> damage|25% chance to return dice
Molotov Cocktail,[fire]🍾,Do [fire]<d6> damage[;]|on 4[;] burn [fire]1 dice
Mood Change,🙂🙁️↔️,Change the weather[;]|recover [heal]3 health
Moon Beam,🌛☄,Do [sword]5 damage|(If [mana]>=7: double damage)
Moonlight Spear,🌛🤺,Do [sword]10 damage|(If [mana]>=8: do double)
Mosquito Bite,🦟🦷,Drain [heart]1 health
Muddle,❓❓❓,Do [sword]<d6> damage[;]|Inflict [confuse]Confuse
Mute,🔇,Do [sword]<d6> damage[;]|Inflict [silence]Silence
Mystery Box,🕵️🧰,Very mysterious
Nail Bat,📌🏏,Do [sword]<d6> damage|(You lose [heart]2 hp each turn)
Nightmare,💤💭🪦,Do [sword]999 damage
Nightstick,🌃🦯,[shock]Shocks the enemy|[gray](Reuseable)
Northern Lights,🧭💡,Get 2x<d6>s next turn|(If [mana]>=5: get 3 instead)
Nudge,➖,Dice value -1
Nudgeblade,➖🗡,Do [sword]<d6> damage[;] get|new dice (value -1)
Nunchucks,🥷⛓,Do [sword]<d6> damage|[gray](Reuseable)
Overclock,➕⏲️,Do [sword]2 damage[;] CPU -2|[gray](Reuseable)
Overwhelm,🌊,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable)
Pandemonium,🌋,Destroy all equipment[;]|Do [sword]4 for each destroyed
Paper Lantern,🏮,Get 3x<slotdoubles> next turn
Parrying Dagger,🚧🗡,Do [sword]<d6> damage[;] lock|enemy dice that roll <d6>
Particle Accelerator,🏃🔬,On 1: Do [sword]<var_tempparticleacceleratorkludge:particleaccelerator> damage|on 2-6: Double damage
Pea Shooter,🟢🔫,Do [sword]2 damage|[gray](Reuseable)
Pickaxe,⛏️,[weaken]<d6> damage + [weaken]1 weaken|[gray](Reuseable)
Pickpocket,💸,Steals [gold]1 gold|[gray](once per battle)
Picnic Basket,🥪🧺,Keep a <d6> for next turn
Pierce Spell,📌🪄,Ignore shields
Pirate Hook,🏴‍☠🪝,Do [sword]<d6> damage[;]|on 5[;] you can re-use this
