Changed?,Name,Description,Name_en,Description_en,
,Toxic Ooze_upgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]3 poison,Toxic Ooze_upgraded,[1f4e4][sword]<d6>[1f915]|[36-20E3][27a1][2795][poison][33-20E3],
,Poison Slingshot,Add [poison]4 poison,[poison-border][1faa8-border][1f93e-border],[2795][poison][34-20E3],
,Poison Slingshot_downgraded,Add [poison]2 poison,Poison Slingshot_downgraded,[2795][poison][32-20E3],
,Blight,Double [poison] poison,[1f922-border],[32-20E3][2716][poison],
,Blight_weakened,Increase [poison] poison|by 50 percent,Blight_weakened,[2795][poison][2797][32-20E3],
,Blight_downgraded,Increase [poison] poison|by 50 percent,Blight_downgraded,[2795][poison][2797][32-20E3],
,Claw,Do [sword]<d6> damage[;]|and add [poison]1 poison,[1f43a-border][1f590-border],[1f4e4][sword]<d6>[1f915]|[2795][poison][31-20E3],
,Claw_downgraded,Do [sword]<d6> damage,Claw_downgraded,[1f4e4][sword]<d6>[1f915],
,Dagger,Do [sword]<d6> damage|[gray](Reuseable),[1f5e1-border],[1f4e4][sword]<d6>[1f915]|,
,Six Shooter,Do [sword]<d6> damage|[gray](Reuseable),[36-20E3-border][1f52b-border],[1f4e4][sword]<d6>[1f915]|,
,Pierce Spell,Ignore shields,[1f4cc-border][1fa84-border],[shield][1f937],
,Magic Barrier,Add [shield]5 shield,[1fa84-border][1f6a7-border],[2795][shield][35-20E3],
,Hall of Mirrors,[]+1 dice this fight,[1fa9e-border][1f3e0-border],[2795][31-20E3][dice][1f449][2694],
,Magic Shield,Add [shield]3 shield,[1fa84-border][shield-border],[2795][shield][33-20E3],
,Magic Shield_upgraded,Add [shield]4 shield,Magic Shield_upgraded,[2795][shield][34-20E3],
,Magic Missile,Do [sword]5 damage,[1fa84-border][1f4a5-border],[1f4e4][sword][35-20E3][1f915],
,Magic Missile_upgraded,Do [sword]8 damage,Magic Missile_upgraded,[1f4e4][sword][38-20E3][1f915],
,Burning Light,Deal [fire]<d6> damage|Burn [fire]1 dice,[fire-border][1f4a1-border],[1f4e4][fire]<d6>[1f915]|[fire][31-20E3][dice],
,Healing Crystal,Recover [heal]<d6> health,[1fa79-border][1f48e-border],[heal]<d6>,
,Healing Crystal_upgraded,Recover [heal]<d6> health[;]|reduce poison by 1,Healing Crystal_upgraded,[heal]<d6>|[poison][2796][31-20E3],
,Staff,Deal [fire]6 damage|Burn [fire]1 dice,[1f9af-border],[1f4e4][fire][36-20E3][1f915]|[fire][31-20E3][dice],
,Staff_downgraded,Deal [fire]3 damage|Burn [fire]1 dice,Staff_downgraded,[1f4e4][fire][33-20E3][1f915]|[fire][31-20E3][dice],
,Staff_upgraded,Deal [fire]8 damage|Burn [fire]1 dice,Staff_upgraded,[1f4e4][fire][38-20E3][1f915]|[fire][31-20E3][dice],
,Wail,Silence Enemy,[1f631-border],[silence][2197],
,Squawk,Silence Enemy,[1f426-border][1f5e3-border],[silence][2197],
,Squawk_upgraded,Do [sword]2 damage|Silence Enemy,Squawk_upgraded,[1f4e4][sword][32-20E3][1f915]|[silence][2197],
,Woof Woof Woof,Repeat next action,[1f43a-border][1f43a-border][1f43a-border],[1f501][23e9][1f590],
,Dire Wolf Howl,Curse enemy,[1f43a-border][1f5e3-border],[curse][2197],
,Dire Wolf Howl_weakened,No effect,Dire Wolf Howl_weakened,[1f610],
,Shriek,Curse enemy,[1f631-border][1f5e3-border],[curse][2197],
,Lament,Do [ice]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,[1f622-border][1f5e3-border],[1f4e4][ice]<d6>[1f915]|[36-20E3][27a1][1f4e4][ice][31-20E3],
,Lament_downgraded,Do [ice]<d6> damage,Lament_downgraded,[1f4e4][ice]<d6>[1f915],
,Nightmare,Do [sword]999 damage,[1f4a4-border][1f4ad-border][1faa6-border],[1f4e4][sword][39-20E3][39-20E3][39-20E3][1f915],
,Nightmare_downgraded,Do [sword]998 damage,Nightmare_downgraded,[1f4e4][sword][39-20E3][39-20E3][38-20E3][1f915],
,Nightmare_weakened,Do [sword]998 damage,Nightmare_weakened,[1f4e4][sword][39-20E3][39-20E3][38-20E3][1f915],
,Midnight Charm,Roll 2 sixes,[1f303-border][1fa84-border],[1f504][32-20E3][dice][1f522][36-20E3],
,Midnight Charm_weakened,Roll 1 six,Midnight Charm_weakened,[1f504][31-20E3][36-20E3],
,Midnight Charm_downgraded,Roll 1 six,Midnight Charm_downgraded,[1f504][31-20E3][36-20E3],
,Snake Eye Charm,Roll 2 ones,[1f40d-border][1f440-border][1fa84-border],[1f504][32-20E3][dice][1f522][31-20E3],
,Snake Eye Charm_downgraded,Roll 1 one,Snake Eye Charm_downgraded,[1f504][31-20E3][31-20E3],
,Snake Eye Charm_weakened,Roll 1 one,Snake Eye Charm_weakened,[1f504][31-20E3][31-20E3],
,Chocolate Cookie,Repeat next action,[1f36a-border],[1f501][23e9][1f590],
,Chocolate Cookie_downgraded,Next equipment has|+1 use this turn,Chocolate Cookie_downgraded,[23e9][1f6e0][2795][31-20E3][1f590][1f449][231b],
,Fury Spell,Repeat next action,[fury-border][1fa84-border],[1f501][23e9][1f590],
,Dexterity Charm,All equipment is|reuseable this turn,[1f6e0-border][1fa84-border],[267e][1f6e0][1f501][1f590][1f449][231b],
,Dexterity Charm_downgraded,No effect,Dexterity Charm_downgraded,[1f610],
,Dexterity Charm_weakened,No effect,Dexterity Charm_weakened,[1f610],
,Wall of Flame,[fire]6 dmg + [fire]1 burn|[gray](once per battle),[fire-border][fire-border][fire-border],[fire][36-20E3][1f915][2795][fire][31-20E3]|[31-20E3][1f590][267e][2694],
,Wall of Flame_upgraded,[fire]8 dmg + [fire]1 burn|[gray](once per battle),Wall of Flame_upgraded,[fire][38-20E3][1f915][2795][fire][31-20E3]|[31-20E3][1f590][267e][2694],
,Wall of Flame_downgraded,[fire]4 dmg + [fire]1 burn|[gray](once per battle),Wall of Flame_downgraded,[fire][34-20E3][1f915][2795][fire][31-20E3]|[31-20E3][1f590][267e][2694],
,Infestation,Curse everyone,[1fab0-border],[curse][2197][2199],
,Infestation_upgraded,Curse enemy,Infestation_upgraded,[curse][2197],
,Infestation_downgraded,Curse yourself,Infestation_downgraded,[curse][2199],
,Detonator,Do [sword]1 damage for|every [poison]1 on enemy,[1f579-border],[1f4e4][sword][31-20E3][1f915][267e][poison][31-20E3][2197],
,Antidote,Cure [poison]<slotdoubles> poison,[1f48a-border],[2796][poison]<slotdoubles>,
,Antidote_downgraded,Cure [poison]<slotdoubles> poison|(for both you and enemy),Antidote_downgraded,[2796][poison]<slotdoubles>|[2199][2197],
,Antidote_upgraded,Cure [poison]<d6> poison,Antidote_upgraded,[2796][poison]<d6>,
,Crystal Sword,Do [sword]<triple> damage|[gray](once per battle),[1f48e-border][sword-border],[1f4e4][sword][33-20E3][2716]<d6>[1f915]|[31-20E3][1f590][267e][2694],
,Crystal Sword_downgraded,Do [sword]<double> damage|[gray](once per battle),Crystal Sword_downgraded,[1f4e4][sword][32-20E3][2716]<d6>[1f915]|[31-20E3][1f590][267e][2694],
,Crystal Sword_weakened,Do [sword]<double> damage|[gray](once per battle),Crystal Sword_weakened,[1f4e4][sword][32-20E3][2716]<d6>[1f915]|[31-20E3][1f590][267e][2694],
,Crystal Sword_deckupgrade,Do [sword]<triple> damage,Crystal Sword_deckupgrade,[1f4e4][sword][33-20E3][2716]<d6>[1f915],
,Bump,Dice value +1,[2795-border],[dice][1f522][2795][31-20E3],
,Bump_upgraded,Dice value +1|[gray](Reuseable),Bump_upgraded,[dice][1f522][2795][31-20E3]|,
,Nudge,Dice value -1,[2796-border],[dice][1f522][2796][31-20E3],
,Nudge_upgraded,Dice value -1|[gray](Reuseable),Nudge_upgraded,[dice][1f522][2796][31-20E3]|,
,Counter Spell,If enemy rolls <d6>[;]|that dice is locked,[26d4-border][1fa84-border],[2197][1f504]<d6>[27a1][1f449][2197][dice][lock],
,Counter Spell_upgraded,Lock dice that roll <d6>|[gray](Reuseable),Counter Spell_upgraded,[lock][dice][1f504]<d6>|,
,Nightstick,[shock]Shocks the enemy|[gray](Reuseable),[1f303-border][1f9af-border],[shock][2197]|,
,Rock,Do [sword]<d6> damage|[gray](once per battle),[1faa8-border],[1f4e4][sword]<d6>[1f915]|[31-20E3][1f590][267e][2694],
,Yoink,Borrow equipment|until next turn,[23cf-border],[1f4e5][2197][1f6e0][1f449][231b],
,Plasma Cannon,Do [sword]10 damage,[2b06-border][1f52b-border][1f468-200D-1f680-border],[1f4e4][sword][31-20E3][30-20E3][1f915],
,Plasma Cannon_weakened,Do [sword]5 damage,Plasma Cannon_weakened,[1f4e4][sword][35-20E3][1f915],
,Plasma Cannon_downgraded,Do [sword]5 damage,Plasma Cannon_downgraded,[1f4e4][sword][35-20E3][1f915],
,Crossbow,Do [sword]9 damage,[1f3f9-border],[1f4e4][sword][39-20E3][1f915],
,Crossbow_weakened,Do [sword]4 damage,Crossbow_weakened,[1f4e4][sword][34-20E3][1f915],
,Crossbow_downgraded,Do [sword]4 damage,Crossbow_downgraded,[1f4e4][sword][34-20E3][1f915],
,Target Shield,Add [shield]<d6> to shield|[gray](Reuseable),[1f3af-border][shield-border],[2795][shield]<d6>|,
,Buckler,Add [shield]4 to shield,[1f90f-border][shield-border],[2795][shield][34-20E3],
,Buckler_weakened,Add [shield]2 to shield,Buckler_weakened,[2795][shield][32-20E3],
,Buckler_downgraded,Add [shield]2 to shield,Buckler_downgraded,[2795][shield][32-20E3],
,Boomerang,Do [sword]<double> to enemy[;]|but [sword]<d6> to yourself,[1fa83-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915][2197]|[sword]<d6>[2199],
,Boomerang_upgraded,Do [sword]<double> to enemy[;]|but [sword]3 to yourself,Boomerang_upgraded,[1f4e4][sword][32-20E3][2716]<d6>[1f915][2197]|[sword][33-20E3][2199],
,Wolf Puppy Bite,Do [sword]4 damage,[1f9d2-border][1f43a-border][1f9b7-border],[1f4e4][sword][34-20E3][1f915],
,Wolf Puppy Bite_upgraded,Do [sword]5 damage,Wolf Puppy Bite_upgraded,[1f4e4][sword][35-20E3][1f915],
,Fire Breath,Do [fire]4 damage|Burn [fire]1 dice,[fire-border][1f32c-border],[1f4e4][fire][34-20E3][1f915]|[fire][31-20E3][dice],
,Fire Breath_upgraded,Do [fire]6 damage|Burn [fire]1 dice,Fire Breath_upgraded,[1f4e4][fire][36-20E3][1f915]|[fire][31-20E3][dice],
,Fire Breath_downgraded,Do [sword]4 damage,Fire Breath_downgraded,[1f4e4][sword][34-20E3][1f915],
,Lockpick,Split a dice in two,[1f4ce-border][lock-border],[1fa9a][dice][25b6][dice][dice],
,Lockpick_downgraded,Split value in two,Lockpick_downgraded,[dice][1f522][2797][32-20E3],
,Lockpick_upgraded,Split a dice in two|On six[;] split into three,Lockpick_upgraded,[1fa9a][dice][25b6][dice][dice]|[36-20E3][27a1][1fa9a][dice][25b6][dice][dice][dice],
,Nudgeblade,Do [sword]<d6> damage[;] get|new dice (value -1),[2796-border][1f5e1-border],[1f4e4][sword]<d6>[1f915]|[1f4e5][dice][1f522][2796][31-20E3],
,Counterfeit,Duplicate a dice,[dice-border][2795-border],[dice][dice],
,Dodge,Dodge next attack,[dodge-border],[dodge][23e9][1f915],
,Flight,Dodge next attack,[1fab6-border],[dodge][23e9][1f915],
,Pickpocket,Steals [gold]1 gold|[gray](once per battle),[1f4b8-border],[1f4e5][2197][gold][31-20E3]|[31-20E3][1f590][267e][2694],
,Pickpocket_upgraded,Steals [gold]2 gold|[gray](once per battle),Pickpocket_upgraded,[1f4e5][2197][gold][32-20E3]|[31-20E3][1f590][267e][2694],
,Poison Needle,Inflict [poison]1 poison|[gray](Reuseable),[poison-border][1faa1-border],[1f4e4][poison][31-20E3]|,
,Poison Needle_downgraded,Inflict [poison]1 poison,Poison Needle_downgraded,[1f4e4][poison][31-20E3],
,Crowbar,Reduce the countdowns|on all equipment by <d6>,[2796-border][1f9ee-border],[267e][1f6e0][1f9ee][2796]<d6>,
,Crowbar_upgraded,Reduce countdowns by <d6>|[gray](Reuseable),Crowbar_upgraded,[1f9ee][2796]<d6>|,
,Leather Armor,Reduce [reduce]1 damage|from each attack,[2b07-border][reduce-border],[reduce][31-20E3],
,Iron Armor,Reduce [reduce]2 damage|from each attack,[reduce-border],[reduce][32-20E3],
,Iron Armor_downgraded,Reduce [reduce]1 damage|from each attack,Iron Armor_downgraded,[reduce][31-20E3],
,Hookshot,Next equipment has|+1 use this turn,[1fa9d-border][1f52b-border],[23e9][1f6e0][2795][31-20E3][1f590][1f449][231b],
,Hacksaw,Split a dice in three,[1fa9a-border],[1fa9a][dice][25b6][dice][dice][dice],
,Skeleton Key,Set all dice to <slotdoubles>,[1f480-border][1f511-border],[267e][dice][25b6]<slotdoubles>,
,Skeleton Key_upgraded,Set all dice to <d6>,Skeleton Key_upgraded,[267e][dice][25b6]<d6>,
,Skeleton Key_downgraded,Set all dice to 2,Skeleton Key_downgraded,[267e][dice][25b6][32-20E3],
,Lantern,Get 2x<d6>s next turn|[gray](once per battle),[1fa94-border],[1f4e5][32-20E3][2716]<d6>[23e9][231b]|[31-20E3][1f590][267e][2694],
,Lantern_upgraded,Get 2x<d6>s next turn,Lantern_upgraded,[1f4e5][32-20E3][2716]<d6>[23e9][231b],
,Spiked Shield,Even: [sword]<evendice_d6> damage|Odd: [shield]<odddice_d6> shield,[1f4cc-border][shield-border],[32-20E3][34-20E3][36-20E3][27a1][sword]<evendice_d6>[1f915]|[31-20E3][33-20E3][35-20E3][27a1][shield]<odddice_d6>,
,Last Stand,Survive the next fatal|blow (Doesn't stack),[23ed-border][1f9cd-border],[26d4][26b0][23e9][26b0][1f915]|[26d4][1f4da],
,Wooden Stake,Takes final [heart]5 hp|from vampires,[1fab5-border][1f4cc-border],[1f9db-200D-2642-FE0F][2796][23ed][heart][35-20E3],
,Blood Suck,Drain [heart]<d6> health,[1fa78-border][1f964-border],[1f4e5][2197][heart]<d6>,
,Bandage,Heal [heal]1 health|[gray](Reuseable),[2b06-border][1fa79-border],[heal][31-20E3][heart]|,
,First Aid Kit,Heal [heal]8 health,[26d1-border],[heal][38-20E3][heart],
,First Aid Kit_downgraded,Heal [heal]4 health,First Aid Kit_downgraded,[heal][34-20E3][heart],
,First Aid Kit_weakened,Heal [heal]4 health,First Aid Kit_weakened,[heal][34-20E3][heart],
,Rosepetal Staff,Mysterious old staff|Inflict [poison]??? poison,[1f339-border][1f9af-border],[1f575][1f387]|[1f4e4][poison][2753][2753][2753],
,Rosepetal Shield,Mysterious shield|Add [shield]??? shield,[1f339-border][shield-border],[1f575][shield]|[2795][shield][2753][2753][2753],
,Second Wind,Take an extra turn|[gray](once per battle),[1f32c-border][1f32c-border],[1f4e5][231b]|[31-20E3][1f590][267e][2694],
,Second Wind_downgraded,Roll an extra dice|[gray](once per battle),Second Wind_downgraded,[2795][31-20E3][dice]|[31-20E3][1f590][267e][2694],
,Second Wind_weakened,Roll an extra dice|[gray](once per battle),Second Wind_weakened,[2795][31-20E3][dice]|[31-20E3][1f590][267e][2694],
,Smog Cloud,Inflict [poison]3 poison|and [blind]3 blind,[1f3ed-border][2601-border],[1f4e4][poison][33-20E3][blind][33-20E3],
,Smog Cloud_downgraded,Inflict [poison]3 poison,Smog Cloud_downgraded,[1f4e4][poison][33-20E3],
,Smog Cloud_upgraded,Inflict [poison]4 poison|and [blind]4 blind,Smog Cloud_upgraded,[1f4e4][poison][34-20E3][blind][34-20E3],
,Run away!,Run away!,[1f6aa-border][1f3c3-border],[1f6aa][1f3c3],
,Run away!_downgraded,No effect,Run away!_downgraded,[1f610],
,Run away!_weakened,No effect,Run away!_weakened,[1f610],
,Fists,Do [sword]3 damage|[gray](Reuseable),[1f91b-border][1f91c-border],[1f4e4][sword][33-20E3][1f915]|,
,Fists_upgraded,Do [sword]4 damage|[gray](Reuseable),Fists_upgraded,[1f4e4][sword][34-20E3][1f915]|,
,Knuckle Duster,Do [sword]3 damage|[gray](Reuseable),[1f44a-border][1f4cc-border],[1f4e4][sword][33-20E3][1f915]|,
,Knuckle Duster_upgraded,Do [sword]4 damage|[gray](Reuseable),Knuckle Duster_upgraded,[1f4e4][sword][34-20E3][1f915]|,
,Poison Cloud,Inflict [poison]<d6> poison,[poison-border][2601-border],[1f4e4][poison]<d6>,
,Poison Cloud_upgraded,Inflict [poison]3 poison,Poison Cloud_upgraded,[1f4e4][poison][33-20E3],
,Earthquake,Weaken [weaken]3 equipment[;]|do [weaken]6 damage,[1f30d-border][1f4a2-border],[weaken][33-20E3][1f6e0]|[1f4e4][weaken][36-20E3][1f915],
,Earthquake_downgraded,Weaken [weaken]2 equipment[;]|do [weaken]6 damage,Earthquake_downgraded,[weaken][32-20E3][1f6e0]|[1f4e4][weaken][36-20E3][1f915],
,Earthquake_upgraded,Weaken [weaken]3 equipment[;]|do [weaken]9 damage,Earthquake_upgraded,[weaken][33-20E3][1f6e0]|[1f4e4][weaken][39-20E3][1f915],
,Hammer,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock,[1f528-border],[1f4e4][shock]<d6>[1f915]|[36-20E3][27a1][1f4e4][shock][31-20E3],
,Hammer_downgraded,Do [shock]<d6> damage,Hammer_downgraded,[1f4e4][shock]<d6>[1f915],
,Hammer_weakened,Do [shock]<d6> damage,Hammer_weakened,[1f4e4][shock]<d6>[1f915],
,Hammer_deckupgrade,Do [shock]<d6> damage|[shock]Shocks the enemy,Hammer_deckupgrade,[1f4e4][shock]<d6>[1f915]|[shock][2197],
,Shovel,Do [weaken]<d6> damage[;]|on 6[;] inflict [weaken]1 weaken,[2660-border],[1f4e4][weaken]<d6>[1f915]|[36-20E3][27a1][1f4e4][weaken][31-20E3],
,Shovel_upgraded,Do [weaken]<d6> damage[;]|on even[;] inflict [weaken]1 weaken,Shovel_upgraded,[1f4e4][weaken]<d6>[1f915]|[32-20E3][34-20E3][36-20E3][27a1][1f4e4][weaken][31-20E3],
,Shovel_downgraded,Do [weaken]<d6> damage,Shovel_downgraded,[1f4e4][weaken]<d6>[1f915],
,Electromagnet,Do [sword]<twicetimesused> damage|Add +2 each use,[1f9f2-border],[1f4e4][sword]<twicetimesused>[1f915]|[2795][32-20E3][267e][1f590],
,Electromagnet_downgraded,Do [sword]<twicetimesused> damage,Electromagnet_downgraded,[1f4e4][sword]<twicetimesused>[1f915],
,Electromagnet_weakened,Do [sword]<twicetimesused> damage,Electromagnet_weakened,[1f4e4][sword]<twicetimesused>[1f915],
,Electromagnet_deckupgrade,Do [sword]<twicetimesused_plus1> damage|Add +2 each use,Electromagnet_deckupgrade,[1f4e4][sword]<twicetimesused_plus1>[1f915]|[2795][32-20E3][267e][1f590],
,Spanner,Combine dice,[1f527-border],[1faa2][dice],
,Spanner_upgraded,Combine dice|[gray](Reuseable),Spanner_upgraded,[1faa2][dice]|,
,Doppeldice,Double dice value,[32-20E3-border][dice-border],[32-20E3][2716][dice][1f522],
,Flamethrower,[fire]<d6> dmg[;] +[fire]2 burn|[gray](once per battle),[fire-border][1f52b-border],[fire]<d6>[1f915]|[2795][fire][32-20E3]|[31-20E3][1f590][267e][2694],
,Flamethrower_upgraded,[fire]<d6> dmg[;] +[fire]4 burn|[gray](once per battle),Flamethrower_upgraded,[fire]<d6>[1f915]|[2795][fire][34-20E3]|[31-20E3][1f590][267e][2694],
,Pea Shooter,Do [sword]2 damage|[gray](Reuseable),[1f7e2-border][1f52b-border],[1f4e4][sword][32-20E3][1f915]|,
,Pea Shooter_downgraded,Do [sword]1 damage|[gray](Reuseable),Pea Shooter_downgraded,[1f4e4][sword][31-20E3][1f915]|,
,Pea Shooter_upgraded,Do [sword]4 damage|[gray](Reuseable),Pea Shooter_upgraded,[1f4e4][sword][34-20E3][1f915]|,
,Lightning Rod,Discharge [sword]<charge> damage|Take damage to charge,[1f329-border][1f9af-border],[1f4e4][1f50b][sword]<charge>[1f915]|[1f4e5][1f915][27a1][2795],
,Lightning Rod_downgraded,Discharge[;] but do|zero damage,Lightning Rod_downgraded,[1f4e4][1f50b]|[30-20E3][1f915],
,Scrap Metal,Gain [shield]1 shield|(Always offered as scrap),[267b-border][1f697-border],[1f4e5][shield][31-20E3]|[1f932][267b][267e][2694],
,Scrap Metal_downgraded,No effect.|(Always offered as scrap),Scrap Metal_downgraded,[1f610]|[1f932][267b][267e][2694],
,Scrap Metal_upgraded,Gain [shield]2 shield|(Always offered as scrap),Scrap Metal_upgraded,[1f4e5][shield][32-20E3]|[1f932][267b][267e][2694],
,Matchstick,Burns [fire]1 dice|[gray](Reuseable),[1f9e8-border],[fire][31-20E3][dice]|,
,Tazer,Do [shock]<d6> damage|[shock]Shocks the enemy,[1f50c-border],[1f4e4][shock]<d6>[1f915]|[shock][2197],
,Tazer_downgraded,[shock]Shocks the enemy,Tazer_downgraded,[shock][2197],
,Sonic Wave,Do [weaken]<d6> damage|[weaken]Weakens enemy,[1f4e2-border][1f30a-border],[1f4e4][weaken]<d6>[1f915]|[weaken][2197],
,Sonic Wave_downgraded,[weaken]Weakens enemy,Sonic Wave_downgraded,[weaken][2197],
,Backstab,Do [sword]<equipmentuse> damage. Add [sword]1|on each item use.,[1f6b6-border][1f5e1-border],[1f4e4][sword]<equipmentuse>[1f915]|[2795][sword][31-20E3][267e][1f6e0][1f590],
,Duplicate,Duplicate a dice,[dice-border][dice-border],[dice][dice],
,Infliction,Do [sword]3 damage,[1f4e4-border],[1f4e4][sword][33-20E3][1f915],
,Infliction_upgraded,Do [sword]4 damage,Infliction_upgraded,[1f4e4][sword][34-20E3][1f915],
,Magic Dagger,Do [sword]2 damage|[gray](Reuseable),[1fa84-border][1f5e1-border],[1f4e4][sword][32-20E3][1f915]|,
,Magic Dagger_upgraded,Do [sword]3 damage|[gray](Reuseable),Magic Dagger_upgraded,[1f4e4][sword][33-20E3][1f915]|,
,Electric Shock,Do [shock]<d6> damage[;]|[]+[shock]1 shock,[shock-border][1f627-border],[1f4e4][shock]<d6>[1f915]|[2795][shock][31-20E3],
,Ice Shard,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,[1f9ca-border][1f4cc-border],[1f4e4][ice]<d6>[1f915]|[ice][31-20E3][dice],
,Lightning Bolt,Do [shock]<d6> damage[;]|[]+[shock]1 shock,[1f329-border],[1f4e4][shock]<d6>[1f915]|[2795][shock][31-20E3],
