Changed?,String,String_en,Location,Notes,
,to release shock,,Combat,,
,Place two dice,[dice-border][dice-border][27a1-border][26d4-border][silence-border],Combat,,
,to break silence,,Combat,,
,Spellbook,[1f9d9-200d-2640-fe0f-border][1f4d3-border],Combat,Name of the witch's skillcard,
,Cast Spell,[1f4e5-border][1f4d3-border][1f6e0-border],Combat,,
,Do [sword]1 dmg,[1f4e4-border][sword-border][31-20e3-border][1f915-border],Combat,,
,Current Gadget,[1f449-border][1f39b-border],Combat,Name of the inventor's skillcard,
,Current Gadgets,[1f449-border][1f39b-border],Combat,,
,Warrior Skills,[2694-border][1f9d1-border][1f9b8-border],Combat,Name of the warrior's skillcard,
,INNATE,[1f9b8-border],Combat,Shown in this context: INNATE: Enemy is weak against poison,
,gets an extra [dice] dice every turn,[1f4e5-border][2795-border][dice-border][267e-border][231b-border],Combat,Innate text,
,goes first,[23ee-border][231b-border],Combat,Innate text,
,is immune to fire,[1f6a7-border][fire-border],Combat,Innate text,
,is immune to poison,[1f6a7-border][poison-border],Combat,Innate text,
,is strong against poison,[poison-border][1f915-border][2797-border][32-20e3-border],Combat,Innate text,
,is strong against fire,[fire-border][1f915-border][2797-border][32-20e3-border],Combat,Innate text,
,is weak to poison,[poison-border][1f915-border][2716-border][32-20e3-border],Combat,Innate text,
,is weak to fire,[fire-border][1f915-border][2716-border][32-20e3-border],Combat,Innate text,
,is weak to ice,[ice-border][1f915-border][2716-border][32-20e3-border],Combat,Innate text,
,can only be killed with a wooden stake,[1f915-border][26d4-border][1fab5-border][1f4cc-border][27a1-border][26d4-border][26b0-border],Combat,Innate text,
,is shocked every turn,[1f4e5-border][shock-border][267e-border][231b-border],Combat,Innate text,
,Back to Title,[23ea-border],Editor,Button: Back to title screen,
,Preview upgrade?,[1f440-border][1f6e0-border][2795-border][2753-border],Spellbook,Toggle to preview the upgraded version of a spell,
,Change Spell,[2194-border][1f6e0-border],Spellbook,Button: Change the prepared spell,
,Ok,[1f44d-border],Equipment Menu,Button: Confirm,
,Equip it now,[1f4e5-border],Equipment Menu,Button: Equip the thing you found,
,Backpack,[1f392-border],Equipment Menu,Button: Open your backpack from an equipment screen,
,Ignore it,[26d4-border][1f4e5-border],Equipment Menu,Button: Don't collect the equipment,
,Victory! You throw away your boring old gadget. You are inspired to create a new gadget!,[1f64c-border][1f5d1-border][23ea-border][1f39b-border][1f4e5-border][1f39b-border],Inventor battle victory,,
,Choose an item to [yellow]destroy for parts[]!,[2757-border][1f5d1-border][1f6e0-border][27a1-border][1f39b-border],Inventor battle victory,,
,Make this!,[1f4e5-border][1f449-border][1f39b-border],Inventor battle victory,,
,Bear,[1f43b-border],Special Enemy,,
,Cost [heart]2,[2796-border][heart-border][32-20e3-border],Warrior Skillcard,,
,Health Restored! Max Health +[heart]5!,[1f501-border][heart-border]|[heart-border][1f4ca-border][2795-border][heart-border][35-20e3-border],Level up,,
,An extra dice,[2795-border][31-20e3-border][dice-border],Level up,,
,Take,[1f4e5-border],Level up,Button: Take Level up perk,
,Buy,[1f6d2-border],Shop,Button: Buy something,
,Exit,[1f6aa-border][1f6b6-border],Shop,Button: Leave the shop,
,Leave,[1f6aa-border][1f6b6-border],Shop,Button: Leave the guild,
,CPU,[1f5a5-border],Combat,Robot‘s dice rolling mechanic - displayed beside gold - health and level info in the bottom left corner,
,Calculate,[1f5a5-border],Combat,Robot skill – rolls an extra dice,
,TARGET,[1f389-border][1f4cf-border],Combat,Robot skill – try to roll below or equal to this number,
,Target,[1f389-border][1f4cf-border],Combat,Robot skill – try to roll below or equal to this number,
,ERROR,[26a0-border],Combat,Robot skill – if you go over the target,
,Error,[26a0-border],Combat,Robot skill – if you go over the target,
,JACKPOT,[1f389-border],Combat,Robot skill – if you hit the target exactly,
,Jackpot,[1f389-border],Combat,Robot skill – if you hit the target exactly,
,is immune to burn[;] shock[;] and freeze,[1f6a7-border][fire-border][shock-border][ice-border],Combat,Innate text,
,You are at max level!,[2199-border][2b06-border][1f4aa-border],Level up,,
,Congratulations! You are now level {playerlevel}!,[1f44f-border][2199-border][1f4aa-border]{playerlevel},Level up,,
,{playername} level {playerlevel},{playername}[1f4aa-border]{playerlevel},Level up,Shown on level up screen: e.g. Warrior Level 2,
,What do you want to do?,[1f4e5-border][2753-border],Found Item,Choose an option between pickup backback and leave,
,[yellow]When activated:,[1f590-border][27a1-border],Found Item,Special robot equipment: needs to roll a certain number of dice before it works,
,You have found a new spell!,[1f440-border][1f6e0-border],Found Spell,,
,You have found {item}!,[1f440-border]{item},Found Item,,
,Empty Slot,[1f4ed-border],Spellbook,,
,Learn Spell,[1f4e5-border][1f6e0-border],Spellbook,,
,[heart]{hp} Extra Health,[heart-border]{hp},Level up reward,,
,YOU RECEIVE,[1f4e5-border],Level up reward,,
,Copy Equipment,[1f6e0-border][27a1-border][1f6e0-border][1f6e0-border],Level up reward,,
,Prepared Spell Slot,[23ee-border][1f6e0-border][1f4ee-border],Level up reward,,
,prepared slot,[23ee-border][1f6e0-border][1f4ee-border],Level up reward,,
,Upgraded Spell Slot,[1f6e0-border][1f4ee-border][2795-border],Level up reward,,
,upgraded,[1f6e0-border][1f4ee-border][2795-border],Level up reward,,
,Equipment Upgrade,[1f6e0-border][2795-border],Level up reward,,
,Restore [heart]10 HP,[1f4e5-border][heart-border][31-20e3-border][30-20e3-border],Level up reward,,
,+{extracpu} extra CPU,[2795-border]{extracpu}[1f5a5-border],Level up reward,,
,Activating...,,Robot,,
,Roll any {x} dice,[1f504-border]{x}[dice-border][27a1-border][26d4-border][1f937-border],Robot,,
,to activate,,Robot,,
,Select equipment to upgrade,[1f6e0-border][2753-border][27a1-border][1f6e0-border][2795-border],Equipment Upgrading,,
,[gray](One use this turn),[31-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](2 uses this turn),[32-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](3 uses this turn),[33-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](4 uses this turn),[34-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](5 uses this turn),[35-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](6 uses this turn),[36-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](7 uses this turn),[37-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](8 uses this turn),[38-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](9 uses this turn),[39-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray](10 uses this turn),[31-20e3][30-20e3][1f590][1f449][231b],Multi use equipment,,
,[gray]({usesleft} uses this turn),{usesleft}[1f590][1f449][231b],Multi use equipment,,
,{playername} was defeated...,{playername}[26b0-border][1f914-border],Combat,,
,Equipment upgraded!,[1f6e0-border][2795-border][1f64c-border],Equipment Upgrading,,
,Cost: [gold]{cost} gold,[gold-border]{cost},Shop,The cost of items in a shop,
,[heart] {hp} health,[heart-border]{hp},Map Screen,Health gained from eating an apple,
,End Turn,[1f6d1-border][231b-border],Combat,Click this to end your turn,
,Flee,[1f6aa-border],Flee,Click this to attempt to run away from battle,
,Place dice anywhere,,Combat,Witch's spellbook tutorial text (1/3),
,on the Spellbook to,[1f590-border][dice-border][1f4d3-border][27a1-border][1f4e5-border][1f6e0-border],Combat,Witch's spellbook tutorial text (2/3),
,create equipment,,Combat,Witch's spellbook tutorial text (3/3),
,is immune to freeze,[1f6a7-border][ice-border],Combat,Innate text,
,A copy has been added to your backpack!,[1f392-border][1f4e5-border][1f449-border][1f6e0-border][1f6e0-border],Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,Make a copy of {equipname},{equipname}[1f6e0-border][27a1-border][1f6e0-border][1f6e0-border],Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,{playername} fled...,{playername}[1f6aa-border][1f914-border],Combat,Displayed when you successfully run away,
,{playername} attempts to flee!,{playername}[1f3c3-border],Combat,Displayed when you attempt to run away,
,New Gadget,[23e9-border][1f39b-border],Combat,Shown when an inventor is offered a new gadget,
,Cannot upgrade,[26d4-border][2795-border],Equipment Upgrading,,
,Select a slot,[1f6e0-border][1f4ee-border][2753-border],Spellbook,Shown above spells when you cast a spell and need to choose a slot for it,
,Immune,[1f6a7-border],Combat,Used in various places when an attack has no effect,
,is burnt every turn,[fire-border][267e-border][231b-border],Combat,Innate text,
,Deck,[1f5c3-border],Map Screen,The jester has a deck instead of an inventory,
,{currentcard}/{totalcards} cards,[1f6e0-border]{currentcard}[1f5c3-border]{totalcards},Jester View Deck,for example – 5/14 cards would mean that you have selected card 5 of 14 total,
,Select a card to copy,[1f6e0-border][2753-border][27a1-border][1f6e0-border][1f6e0-border],Jester Copy Card Screen,,
,Copy,[1f6e0-border][27a1-border][1f6e0-border][1f6e0-border],Jester Copy Card Screen,Button text,
,{copiedcard} copied!,{copiedcard}[27a1-border][1f6e0-border][1f6e0-border],Jester Copy Card Screen,Example – Sword copied!,
,Oh no! You've got no cards left!,[1f61f-border][1f5c3-border][26d4-border][1f6e0-border],Jester View Deck,,
,Select a card to destroy,[1f6e0-border][2753-border][27a1-border][1f5d1-border],Jester Destroy Card Screen,,
,Destroy,[1f5d1-border],Jester Destroy Card Screen,Button text,
,{destroyedcard} destroyed!,{destroyedcard}[1f5d1-border],Jester Destroy Card Screen,Example – Sword destroyed!,
,Select a card to upgrade,[1f6e0-border][2753-border][27a1-border][1f6e0-border][2795-border],Jester Upgrade Card Screen,,
,Upgrade {upgradedcard}?,{upgradedcard}[2795-border][2753-border],Jester Upgrade Card Screen,Example – Update Sword?,
,{upgradedcard} upgraded!,[1f4e5-border]{upgradedcard}[2795-border],Jester Upgrade Card Screen,Example – Sword upgraded!,
,Add to deck,[1f4e5-border],Found Item,When the Jester finds a card click this button to add it to their deck,
,Next up,[23e9-border][1f6e0-border][1f6e0-border][1f6e0-border],Jester Combat,Shown above a list of cards coming up next,
,({remainingcards} left),{remainingcards}[1f6e0-border][26d4-border][1f590-border],Jester Combat,Shows the number of cards left in the Jester's deck,
,Snap!,[1f91e-border],Jester Combat,Name of the Jester ability – trades in two matching cards for dice,
,Destroy a card,[1f5d1-border][1f6e0-border],Shop,One of the things the Jester can buy in shops is the ability to destroy a card from their deck,
,Finders Keepers! Choose one piece of equipment to keep:,[1f440-border][1f4e5-border][27a1-border][1f6e0-border][1f4e5-border],Combat,Special thief rules,
,The Warrior's Welcome,[2694-border][1f9d1-border][1f64c-border],Quests,Warrior Quest name,
,Thief in the Night,[1f303-border][1f4b0-border][1f9d1-border],Quests,Thief Quest name,
,Finders Keepers,[1f440-border][1f4e5-border],Quests,Thief Quest name,
,Uptick,[1f39a-border],Quests,Thief Quest name,
,Rise of the Robot,[1f305-border][1f916-border],Quests,Robot Quest name,
,You Choose[;] You Lose,[2199-border][1f446-border][2199-border][2639-border],Quests,Robot Quest name,
,Enter the Inventor,[1f6b6-border][1f6aa-border][1f39b-border][1f9d1-border],Quests,Inventor Quest name,
,Double Rubble,[1faa8-border][1faa8-border],Quests,Inventor Quest name,
,The Inevitability of Rust,[267e-border][1f6e0-border][267b-border],Quests,Inventor Quest name,
,The Witch Way,[1f9d9-200d-2640-fe0f-border][1f6e3-border],Quests,Witch Quest name,
,Expect the Unexpected,[26d4-border][1f52e-border][27a1-border][1f52e-border],Quests,Witch Quest name,
,Countdown,[1f9ee-border],Quests,Witch Quest name,
,Jester's Journey,[1f0cf-border][1f9d1-border][1f6e3-border],Quests,Jester Quest name,
,Not Just a Jester,[26d4-border][1f610-border][1f0cf-border][1f9d1-border],Quests,Jester Quest name,
,Losers[;] Weepers,[1f5d1-border][1f622-border],Quests,Jester Quest name,
,Deal!,[1f91d-border],Trading Post,,
,No deal,[26d4-border][1f91d-border],Trading Post,,
,Your [yellow]{youritem}[][;] for her [yellow]{theiritem}[]. Deal?,[1f4e4-border][1f4e5-border][2753-border],Trading Post,,
,Rules,[1f4dc-border],Quests,Header text on rule description,
,Enemy Moves,[2197-border][1f6e0-border],Combat,Button to preview enemy equipment,
,End Preview,[2199-border][1f6e0-border],Combat,Button to end enemy equipment preview phase,
,Next Level:,[23e9-border][1f4aa-border],Level up,,
,Choose a reward!,[1f4e5-border][2753-border],Level up,,
,(add to Backpack),[1f392-border][1f4e5-border],Collecting equipment,Shown under collect button if something will be added to the backpack,
,Finders Keepers! Choose one piece of equipment to keep:,[1f440-border][1f4e5-border][1f6e0-border][2753-border],Finders Keepers,,
,Finders Keepers! All enemy equipment is added to your deck!,[1f440-border][1f4e5-border][267e-border][2197-border][1f6e0-border][27a1-border][1f5c3-border],Finders Keepers,,
,{odds}% of rolls cause errors,[267e-border][dice-border][1fa99-border][27a1-border][26a0-border],You Choose You Lose,,
,SPELL SLOTS,[1f6e0-border][1f4ee-border],Witch Spellbook,,
,Your prepared spells will be ready to use at the beginning of the battle,[23ee-border][1f6e0-border][1f4ee-border][1f590-border][23ee-border][231b-border],Witch Spellbook,,
,SPELLBOOK,[1f4d3-border],Witch Spellbook,,
,Spells in the spellbook can be prepared during battle by playing,[1f590-border][dice-border][27a1-border],Witch Spellbook,,
,dice corresponding to the spell on the spellbook,[1f4e5-border][1f4d3-border][1f6e0-border][1f449-border][1f522-border],Witch Spellbook,,
,Discard,[1f450-border],Jester Combat,,
,Discard matching cards,[1f450-border][1f9e6-border][1f6e0-border],Jester Combat,,
,Activate matching cards,[1f590-border][1f9e6-border][1f6e0-border],Jester Combat,,
,{boosterpack} PACK,{boosterpack}[1f4bc-border],Jester Level up,Offered a boosterpack eg DETONATOR PACK,
,{boosterpack} and 2x {supportcards},{boosterpack}[32-20e3-border][2716-border]{supportcards},Jester Level up,eg ICE SHATTER and 2x SNOWFLAKE,
,FINALE CARD,[23ed-border][1f6e0-border],Jester Combat,,
,Play every card in a,[1f590-border][267e-border][1f6e0-border][31-20e3-border][231b-border][27a1-border][1f590-border],Jester Combat,,
,single turn to use,,Jester Combat,,
,[gray][medium](ready in {limitbreakhp} hp)[],{limitbreakhp}[1f915-border][27a1-border][1f590-border][1f449-border],Limit Break,,
,[yellow]Ready to use[],[1f449-border][1f44d-border],Limit Break,,
,No effect,[1f610],Equipment,Appears in description if equipment does nothing when used,
,[gray](Reuseable),[1f501][1f590],Equipment,Appears in description if equipment is reuseable,
,[gray](once per battle),[31-20e3][1f590][267e][2694],Equipment,Appears in description if equipment is once per battle only,
,Unavailable,[1f937-border],Combat,Displayed on equipment that cannot be used this turn,
,Needs a 1!,[2757-border][31-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 2 or less!,[2757-border][2935-border][32-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 3 or less!,[2757-border][2935-border][33-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 4 or less!,[2757-border][2935-border][34-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 5 or less!,[2757-border][2935-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 2 or more!,[2757-border][2934-border][32-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 3 or more!,[2757-border][2934-border][33-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 4 or more!,[2757-border][2934-border][34-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 5 or more!,[2757-border][2934-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 2 or 3!,[2757-border][32-20e3-border][33-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 2[;] 3[;] or 4!,[2757-border][32-20e3-border][33-20e3-border][34-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 2[;] 3[;] 4 or 5!,[2757-border][32-20e3-border][33-20e3-border][34-20e3-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 3 or 4!,[2757-border][33-20e3-border][34-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 3[;] 4 or 5!,[2757-border][33-20e3-border][34-20e3-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs 4 or 5!,[2757-border][34-20e3-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,1[;] 3 or 5 only!,[2757-border][31-20e3-border][33-20e3-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,2[;] 4 or 6 only!,[2757-border][32-20e3-border][34-20e3-border][36-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 1!,[2757-border][31-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 2!,[2757-border][32-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 3!,[2757-border][33-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 4!,[2757-border][34-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 5!,[2757-border][35-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Needs a 6!,[2757-border][36-20e3-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,Dice doesn't fit!,[26d4-border],Equipment,Displayed if a dice doesn't fit in a dice slot,
,is immune to lock and freeze,[1f6a7-border][lock-border][ice-border],Combat,Innate text,
,changes equipment every turn,[1f501-border][1f4e5-border][1f6e0-border][267e-border][231b-border],Combat,Innate text,
,copies your equipment,[1f9e6-border][2199-border][1f6e0-border],Combat,Innate text,
,Curse of Greed,[curse-border][1f911-border],Episode Selection,Updated episode rules – used to be This'll be fine,
,Worse than a Curse,[2935-border][curse-border],Episode Selection,Updated episode rules – used to be Vampiric Tendancies,
,Elimination Round,[26b0-border][1f4fa-border],Episode Selection,Updated episode rules – new name for what used to be classic hard mode,
,The Elimination Round,[26b0-border][1f4fa-border],Episode Selection,Updated name for classic hard mode,
,Parallel Universe,[1f501-border][1f30d-border],Episode Selection,Updated episode rules,
,Bonus Round,[1f4fa-border][2795-border],Episode Selection,Updated episode rules – sixth and final episode,
,Random,[2753-border],Remix screen,Rule changes,
,Lady Luck commands:,[1f469-border][1f340-border][1f4dc-border],Lady Luck Boss Fight,,
,The penalty for defying Lady Luck is:,[1f494-border][1f4dc-border][27a1-border],Lady Luck Boss Fight,,
,Don't use odd dice!,[2757-border][26d4-border][1f590-border][dice-border][31-20e3-border][33-20e3-border][35-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use even dice!,[2757-border][26d4-border][1f590-border][dice-border][32-20e3-border][34-20e3-border][36-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 1s!,[2757-border][26d4-border][1f590-border][dice-border][31-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 2s!,[2757-border][26d4-border][1f590-border][dice-border][32-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 3s!,[2757-border][26d4-border][1f590-border][dice-border][33-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 4s!,[2757-border][26d4-border][1f590-border][dice-border][34-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 5s!,[2757-border][26d4-border][1f590-border][dice-border][35-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 6s!,[2757-border][26d4-border][1f590-border][dice-border][36-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 3s or lower!,[2757-border][26d4-border][1f590-border][dice-border][2935-border][33-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use 4s or higher!,[2757-border][26d4-border][1f590-border][dice-border][2934-border][34-20e3-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't switch fighters!,[2757-border][26d4-border][2194-border][2694-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't look at my equipment!,[2757-border][26d4-border][1f440-border][1f469-border][1f340-border][1f6e0-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use equipment that has a [sword] symbol!,[2757-border][1f6e0-border][sword-border][27a1-border][26d4-border][1f590-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use equipment that has a [fire] symbol!,[2757-border][1f6e0-border][fire-border][27a1-border][26d4-border][1f590-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use equipment that has a [shock] symbol!,[2757-border][1f6e0-border][shock-border][27a1-border][26d4-border][1f590-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use equipment that has a [ice] symbol!,[2757-border][1f6e0-border][ice-border][27a1-border][26d4-border][1f590-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't use equipment that has a [d6] symbol!,[2757-border][1f6e0-border][d6-border][27a1-border][26d4-border][1f590-border],Lady Luck Boss Fight,Lady Luck commands,
,Don't reduce any countdowns!,[2757-border][26d4-border][1f9ee-border][2796-border],Lady Luck Boss Fight,Lady Luck commands,
,Lose [heart]5 health,[2796-border][heart-border][35-20e3-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lose [heart]10 health,[2796-border][heart-border][31-20e3-border][30-20e3-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lose [heart]999 health,[2796-border][heart-border][39-20e3-border][39-20e3-border][39-20e3-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Inflict [poison]5 poison,[1f4e5-border][poison-border][35-20e3-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Reduce health to [heart]1,[heart-border][25b6-border][31-20e3-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,End your turn immediately,[1f6d1-border][231b-border][1f449-border][1f590-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] gain 99 [curse]Curses,[23e9-border][231b-border][1f4e5-border][39-20e3-border][39-20e3-border][curse-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] [fire]Burn all dice,[23e9-border][231b-border][fire-border][267e-border][dice-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] lock [lock]2 dice,[23e9-border][231b-border][lock-border][32-20e3-border][dice-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Next turn[;] [blind]Blind all dice,[23e9-border][231b-border][blind-border][267e-border][dice-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lady Luck gains [fury]Fury,[1f469-border][1f340-border][1f4e5-border][fury-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,Lady Luck heals [heart]10 health,[1f469-border][1f340-border][2795-border][heart-border][31-20e3-border][30-20e3-border],Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
,The Warrior,[2694-border][1f9d1-border],Various places,Used in some special situations,
,The Thief,[1f4b0-border][1f9d1-border],Various places,Used in some special situations,
,The Robot,[1f916-border],Various places,Used in some special situations,
,The Inventor,[1f39b-border][1f9d1-border],Various places,Used in some special situations,
,The Witch,[1f9d9-200d-2640-fe0f-border],Various places,Used in some special situations,
,The Jester,[1f0cf-border][1f9d1-border],Various places,Used in some special situations,
,Backstage,[1f92b-border][1f6aa-border],Map Screen,Name of the finale episode in the bottom left hand corner,
,Again! Again! You are overcome with [yellow]inspiration[]!,[1f616-border][1f616-border][261d-border][1f600-border],Inventor battle victory,In double rubble you are required to scrap two items instead of one,
,You scrapped {item}!,{item}[267b-border],Inventor battle victory,,
,Something else[;],[1f6e0-border][2753-border],Inventor battle victory,In parallel universe you can choose to scrap a random item,
,chosen at random,[26d4-border][1f449-border][1f6e0-border],Inventor battle victory,In parallel universe you can choose to scrap a random item,
